"MOVIE_originalName";"MOVIE_genre";"MOVIE_duration";"WORK_name";"WORK_creator";"WORK_createDate";"WORK_url";"WORK_URI"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
"Frozen II";"animazione";"103 min";"FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE%20-%203D%20%28FROZEN%20II%29/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103 min";"FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE%20-%203D%20%28FROZEN%20II%29/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103 min";"FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE%20-%203D%20%28FROZEN%20II%29/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103 min";"FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE%20-%203D%20%28FROZEN%20II%29/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II";"animazione";"103 min";"FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)";"Chris Buck";"2019";"https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle";"http://www.semanticweb.org/facilitiesEventsOntology/FROZEN%20II%20-%20IL%20SEGRETO%20DI%20ARENDELLE%20-%203D%20%28FROZEN%20II%29/Chris%20Buck/2019/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
